#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_trident;The Trident;Le Trident;Der Dreizack;;El Tridente;;;;;;;;;x
EVTDESChigh_valyrian.109;These dragon eggs are captivating things. Their radiance is dazzling and they feel warm to my touch. Surely a dragon resides within? Perhaps I can hatch them in a mighty inferno...;Ces œufs de dragon sont des plus captivants, leur éclat est éblouissant et je les sens brûlants sous mes doigts. Serait-il possible qu’un dragon sommeille en l’un d’eux ? La chaleur d’un gigantesque brasier pourrait peut-être les faire éclore…;;;Estos huevos de dragón parecen responder a mis palabras, relucen a la luz del fuego y parecen calientes a mi tacto. ¿Es posible que un dragón pueda nacer de ahí adentro? El calor de una gigantesca hoguera podría hacer que eclosionarán…;;;;;;;;;x
EVTOPTAhigh_valyrian.109;They shall be born in the Dragonpit atop the hill of Rhaenys!;Ils naîtront à Fossedragon, au sommet de la colline de Rhaenys !;;;Nacerán en el Pozo Dragón, en lo alto de la colina de Rhaenys;;;;;;;;;x
EVTOPTBhigh_valyrian.109;They shall be born from the fire!;Ils naîtront du feu !;;;Nacerán del fuego;;;;;;;;;x
EVTOPTChigh_valyrian.109;Perhaps it's too dangerous...;Peut-être est-ce trop dangereux…;;;Tal vez sea demasiado peligroso...;;;;;;;;;x
EVTDESChigh_valyrian.110;The inferno failed to yield any dragons from the eggs. Perhaps they aren't real after all...;Nul dragon n’a émergé du brasier, peut-être que ces œufs n’étaient en réalité qu’une fraude…;;;La enorme hoguera no ha conseguido que naciera ningún dragón, problamente los huevos no sean tan reales después de todo...;;;;;;;;;x
EVTOPTAhigh_valyrian.110;Disappointing;Décevant;;;Decepcionante;;;;;;;;;x
EVTDESChigh_valyrian.111;I have been studying these scrolls too much, my reverence of dragons has become almost painful. Targaryens wielded them and then let them die, denying the world their majesty and fire. Why can't I gaze upon such majestic creatures just once?;J'ai trop étudier ces parchemins, mon besoin de dragons me ronge. Les Targaryen les ont jadis contrôlés puis les ont laissés mourir, abandonnant de même leur et leur majesté. Pourquoi ne puis-je poser mes yeux ne serait ce qu'un court instant sur ces magnifiques créatures ?;;;La necesidad de dragones me desborda, mis ancestros los tuvieron una vez y los dejaron morir, renunciando a la gloria de la Casa Targaryen. ¿Por qué no puedo poner mi mirada sobre estas magníficas criaturas por una sola vez?;;;;;;;;;x
EVTOPTAhigh_valyrian.111;This world is broken;Ce monde n'est plus rien;;;Este mundo está roto;;;;;;;;;x
dragon_eggs;Owns dragon eggs;Possède des œufs de dragon;;;Posee huevos de dragón;;;;;;;;;x
EVTDESCroberts_rebellion.4;After Prince Rhaegar took Lyanna Stark into his care, Brandon Stark had the temerity to demand his life! I have had him and his father rightfully executed and now Eddard Stark, Robert Baratheon and his allies rise up against me.;Après que le Prince Rhaegar ait pris sous son aile Lyanna Stark, son frère Brandon Stark a eu l’audace de paraître devant moi en exigeant sa tête. J’étais dans mes droits en les faisant exécuter lui et son père, mais voilà qu’à présent Eddard Stark, Robert Baratheon et leurs alliés se soulèvent contre moi.;;;Después que el Príncipe Rhaegar tomara a Lyanna Stark, su hermano Brandon Stark tuvo la temeridad de exigirme que la devolviera. Evidentemente lo ejecuté junto a su padre por traidores y ahora Eddad Stark,  Robert Baratheon y sus aliados se han alzado contra mí.;;;;;;;;;x
EVTOPTBroberts_rebellion.4;They will feel my fire...;Ils vont goûter mon feu...;;;Sentirán mi fuego...;;;;;;;;;x
EVTDESCroberts_rebellion.5;My beloved Lyanna has been kidnapped by Prince Rhaegar. After protesting this cruel act to King Aerys, Rickard Stark has been cruelly burned alive whilst his son Brandon looked on. Now Eddard Stark and I, with our allies, stand against the Mad King's tyranny.;Ma bien-aimée Lyanna a été sauvagement enlevée par le Prince Rhaegar et, pour avoir osé protester auprès du Roi Aerys, Rickard Stark a été brûlé vif sous les yeux de son fils Brandon. Maintenant Eddard Stark et moi-même nous soulevons contra la tyrannie du Roi Fou, avec le soutien de nos alliés.;;;Mi amada Lyanna ha sido secuestrada por el Príncipe Rhaegar y por protestar ante el Rey Aerys, Rickard Stark ha sido quemado vivo mientras su hijo Brandon lo presenciaba todo. Es la hora de que nos alcemos contra la tiranía del Rey Loco con el apoyo de nuestros aliados.;;;;;;;;;x
EVTOPTAroberts_rebellion.5;I will crush the Targaryens with my hammer;Je vais écraser les Targaryens de mon marteau;;;Aplastaré a los Targaryen con mi martillo;;;;;;;;;x
EVTDESCroberts_rebellion.6;My sister is in the hands of Prince Rhaegar and the mad King Aerys has burned my father alive whilst Brandon, my eldest brother, looked on in despair. Lyanna's betrothed, Robert Baratheon, has risen up against his tyranny and I will surely aid my friend in bringing justice.;Ma sœur est aux mains du Prince Rhaegar et le Roi Fou a fait brûler vif notre père sous les yeux impuissants de notre frère Brandon. Le promis de Lyanna, Robert Baratheon, s’est soulevé contre cette tyrannie et je me dois d’aider mon ami à faire justice.;;;Mi hermana está en manos del Príncipe Rhaegar y Aerys, el Rey Loco ha ejecutado a mi padre y a mi hermano mayor. El prometido de Lyanna, Robert Baratheon, se ha alzado contra la tiranía del Rey, debo ayudar a mi amigo a hacer justicia.;;;;;;;;;x
EVTOPTAroberts_rebellion.6;Lyanna will be safe again...;Lyanna sera de nouveau en sécurité…;;;Liberaremos a Lyanna;;;;;;;;;x
EVTDESCroberts_rebellion.7;My former wards, Ned Stark and Robert Baratheon, have risen up against the tyranny of King Aerys. The Mad King burned Rickard Stark and allowed Lyanna Stark, Robert's betrothed, to be kidnapped. I will stand by my companions in war.;Mes deux anciens pupilles, Ned Stark et Robert Baratheon, se sont révoltés contre la tyrannie du Roi Fou Aerys, lequel a brûlé vif Rickard Stark et autorisé l'enlèvement de Lyanna Stark. Je serai présent pour soutenir mes compagnons.;;;Mis antiguos pupilos Robert y Ned se han rebelado contra el Rey Loco, que ha quemado vivo a Rickard Stark y Brandon Stark y ha permitido el secuetro de Lyanna Stark por parte de su hijo, el Príncipe Rhaegar. Cabalgaré junto a ellos camino a la batalla.;;;;;;;;;x
EVTOPTAroberts_rebellion.7;We will prevail;Nous prévaudrons;;;Prevaleceremos;;;;;;;;;x
EVTDESCroberts_rebellion.8;The mad King Aerys has provoked Eddard Stark, Robert Baratheon and their allies into rebellion through his tyrannical actions. The King has repeatedly slighted me despite my loyal service as Hand of the King, I will not jump to his aid for now...;Les actions tyranniques du Roi Fou Aerys ont provoqué la révolte d’Eddard Stark, de Robert Baratheon et de leurs cohortes. En dépit de mes loyaux services comme sa Main, le Roi a multiplié les insultes à mon égard. Je ne me presserai pas pour venir à sa rescousse…;;;Con sus acciones tiránicas el Rey Loco ha provocado a Eddard Stark, Robert Baratheon y sus aliados forzándoles a rebelarse. El Rey me ha despreciado repetidamente a pesar de mi leal servicio como Mano del Rey, por lo que iré en su ayuda, por ahora...;;;;;;;;;x
EVTOPTAroberts_rebellion.8;We shall profit in some way.;Ceci devrait nous être profitable, d’une manière ou d’une autre;;;Sacaré provecho de algún modo;;;;;;;;;x
EVTDESCroberts_rebellion.9;King Aerys is our ally by blood through my sister Elia's marriage to the Crown Prince Rhaegar. Robert Baratheon has risen up against the King and now honor dictates that we aid our allies and my sister.;Le mariage de ma sœur Elia avec le Prince héritier Rhaegar nous lient par le sang au Roi Aerys. A présent que Robert Baratheon s’est révolté contre son Roi, l’honneur nous impose de nous tenir aux côtés de nos alliés et de ma sœur.;;;El Rey Aerys es nuestro señor legítimo y el matrimonio de Elia Martell con el Principe Rhaegarn os obliga por nuestro honor a luchar contra Robert Baratheon y sus rebeldes--El matrimonio de mi hermana Elia con el Príncipe heredero Rhaegar nos une por la sangre al Rey Aeris. Ahora que Robert Baratheon se ha rebelado contra su Rey, el honor nos obliga a estar al lado de nuestros aliados y de mi hermana.;;;;;;;;;x
EVTOPTAroberts_rebellion.9;The Lords of Dorne shall march.;Les Seigneurs de Dorne marcheront à la guerre;;;Los Señores de Dorne marcharán a la guerra.;;;;;;;;;x
EVTDESCroberts_rebellion.10;The Lords who sow the fields are currently embroiled in a civil war where Robert Baratheon has risen up against the mad King Aerys. I have resolved to take no part in the war, but my sons are relentless in their hunger for gain and glory.;Ceux qui sèment se déchirent dans une guerre civile depuis que Robert Baratheon a pris les armes contre le Roi Fou Aerys. Les Fer-nés n’ont que faire de ces sornettes, mais peut-être est-ce là une situation dont nous pourrions tirer profits ?;;;Los Señores de las tierras verdes están envueltos en una sangrienta guerra civil al alzarse Robert Baratheon contra el Rey Aerys. A los Hijos del Hierro estos asuntos les importan poco, pero ¿quizás podriamos sacar algo de provecho?;;;;;;;;;x
EVTOPTAroberts_rebellion.10;I will resist all entreaties to join in;Je vais décliner toutes les propositions pour m'y joindre;;;Resistiré todas las súplicas para que me una;;;;;;;;;x
EVTDESCroberts_rebellion.11;Robert Baratheon and his followers have risen up against our rightful liege, King Aerys. The Targaryens are the rightful Lords of the Seven Kingdoms and we must serve no matter what they might have done.;Robert Baratheon et ceux qui le suivent se sont soulevés contre notre Suzerain légitime, le Roi Aerys. Les Targaryens sont les seigneurs naturels des Sept Couronnes et les servir est notre devoir, qu'importe ce qu'ils aient pu faire.;;;Robert Baratheon y sus aliados se han levantado en armas contra nuestro rey legítimo, el Rey Aerys. Los Targaryen son les Señores legítimos de los Siete Reinos y servirles es nuestro deber, sin importar lo que hayan podido hacer.;;;;;;;;;x
EVTOPTAroberts_rebellion.11;The Reach will support the Crown.;Le Bief va supporter la Couronne;;;El Dominio apoyará a la Corona.;;;;;;;;;x
EVTDESCroberts_rebellion.12;King Aerys, in another fit of madness, has cruelly executed Rickard and Brandon Stark. The Crown Prince Rhaegar has also kidnapped Lyanna Stark. We are allied to the Starks by blood, my daughter Catelyn being wed to Lord Eddard, so we shall aid them in their struggle for justice.;Le Roi Aerys, dans un nouvel accès de démence, a fait cruellement exécuter Rickard et Brandon Stark. Le Prince héritier Rhaegar a par ailleurs enlevé Lyanna Stark. A présent que les noces de ma fille Catelyn avec Eddard Stark nous a alliés aux Starks par le sang, il est de notre devoir de les soutenir dans leur quête de justice. ;;;El Rey Aerys, en otro ataque de locura, ha ejecutado cruelmente a Brandon y Rickard Stark. El Príncipe Rhaegar también ha secuestrado a Lyanna Stark. Estamos aliados con los Stark por la sangre, al casarse mi hija Catelyn con Eddad Stark, por ello les ayudaremos en su búsqueda de justicia.;;;;;;;;;x
EVTOPTAroberts_rebellion.12;The River Lords shall fight.;Les Seigneurs du Conflans se battront;;;Los Señores de las Tierras de los Ríos lucharán.;;;;;;;;;x
demand_kings_landing;Demand King's Landing from bannerman;Exiger Port-Réal de mon banneret;;;Exigir Desembarco del Rey a mi vasallo;;;;;;;;;x
demand_kings_landing_desc;As [Root.GetTitle] on the Iron Throne, King's Landing is mine by right. I should demand it from my bannerman.;En tant que [Root.GetTitle] des Sept Couronnes, Port-Réal est mienne de droit. Je devrais l'exiger de mon banneret;;;Como [Root.GetTitle] de los Siete Reinos, Desembarco del Rey es mío por derecho. Debo exigírselo a mi vasallo.;;;;;;;;;x
EVTTOOLTIP63070;will be informed of your demand.;va être informer de vos exigeances;;;será informado de tus exigencias.;;;;;;;;;x
EVTDESC63070;[Root.GetFirstName] [Root.GetOnlyDynastyName], King's Landing is by right the domain of the [From.GetTitle] on the Iron Throne. I demand that is returned to me forthwith. \n\nSigned, [From.GetTitledFirstName], [From.GetTitle] of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms;[Root.GetFirstName] [Root.GetOnlyDynastyName], Port-Réal est de droit le domaine du(e la) [Root.GetTitle] des Sept Couronnes. J'exige qu'elle me revienne immédiatement.\n\nSigné, [From.GetTitledFirstName], [Root.GetTitle] des Andals, de Rhoynar et des Premiers Hommes, Seigneur des Sept Couronnes et Protecteur du Royaume;;;[Root.GetFirstName] [Root.GetOnlyDynastyName], Desembarco del Rey es por derecho del [Root.GetTitle] de los Siete Reinos. Exijo que me sea devuelto inmediatamente.\n\nFirmado, [From.GetTitledFirstName], [Root.GetTitle] de los Ándalos, de los Rhoynar t de los Primeros Hombres, Señor de los Siete Reinos y Protector del Reino.;;;;;;;;;x
EVTTOOLTIP63072;will be informed of your denial;sera informé de votre refus;;;será informado de tu rechazo.;;;;;;;;;x
EVTDESC63071;You put me in a difficult position, [Root.PrimaryTitle.GetFOA], but if you feel this is the best course of action, then so be it. I shall surrender King's Landing.\n\nSigned,\n[From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName];[Root.PrimaryTitle.GetFOA] me met dans une position difficile, mais si elle estime que cela est une bonne chose alors qu'il en soit ainsi. Je rendrai Port-Réal.\n\nSigné,\n[From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName];;;[Root.PrimaryTitle.GetFOA], me pone en una difícil situación, pero si estimáis que es lo correcto, que así sea. Cederé Desembarco del Rey.\n\nFirmado,\n[From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName];;;;;;;;;x
EVTDESC63072;I assume this is some sort of mummer's farce, [Root.PrimaryTitle.GetFOA]. I shan't surrender that which is rightfully mine, no matter who demands it, even the [Root.GetTitle]. You will have to take it by force.\n\nSigned,\n[From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName];Je suppose qu'il s'agit d'une sorte de farce concoctée par quelque médiocre baladin, Votre Grâce. Je ne livrerai pas ce qui m'appartient de droit, à qui que ce soit, fusse-t-il le Roi. Vous devrez prendre Port-Réal par la force.\n\nSigné,\n[From.GetFirstName] [From.GetOnlyDynastyName] ;;;Supongo que se trata de algún tipo de farsa tramada por algún mediocre comediante, [Root.PrimaryTitle.GetFOA]. No entregaré lo que me pertenece por derecho, aunque se trate de un Rey. Deberéis tomar Desembarco del Rey por la fuerza.\n\nFirmado,\n[From.GetFirstName] [From.GetOnlyDynastyName] ;;;;;;;;;x
